action,session_id,report_date,district_name,tambon,citizen_property,citizen_injured,citizen_deaths,citizen_missing,volunteer_property,volunteer_injured,volunteer_deaths,volunteer_missing,staff_property,staff_injured,staff_deaths,staff_missing,medicine_support,evacuated,not_evacuated,deaths,missing,injured,affected
"created","54","2025-11-30","ควนโดน","รวมทั้งอำเภอ","740","1","0","0","19","0","0","0","1","0","0","0","178","16","742","0","0","1","760"
"created","54","2025-12-01","ควนโดน","รวมทั้งอำเภอ","739","1","0","0","18","0","0","0","1","0","0","0","178","16","742","0","0","1","758"
"created","54","2025-12-02","ควนโดน","รวมทั้งอำเภอ","739","1","0","0","18","0","0","0","1","0","0","0","178","16","742","0","0","1","758"
"created","54","2025-12-03","ควนโดน","รวมทั้งอำเภอ","739","1","0","0","18","0","0","0","1","0","0","0","178","16","742","0","0","1","758"
"created","54","2025-12-04","ควนโดน","รวมทั้งอำเภอ","739","1","0","0","18","0","0","0","1","0","0","0","178","16","742","0","0","1","758"
"created","54","2025-12-05","ควนโดน","รวมทั้งอำเภอ","739","1","0","0","18","0","0","0","1","0","0","0","178","16","742","0","0","1","758"
"created","54","2025-12-06","ควนโดน","รวมทั้งอำเภอ","739","1","0","0","18","0","0","0","1","0","0","0","178","16","742","0","0","1","758"
"created","54","2025-12-07","ควนโดน","รวมทั้งอำเภอ","739","1","0","0","18","0","0","0","1","0","0","0","178","16","742","0","0","1","758"
"created","54","2025-12-08","ควนโดน","รวมทั้งอำเภอ","739","0","0","0","18","0","0","0","1","0","0","0","178","16","742","0","0","0","758"
"created","54","2025-12-09","ควนโดน","รวมทั้งอำเภอ","739","0","0","0","18","0","0","0","1","0","0","0","178","16","742","0","0","0","758"
"created","54","2025-12-10","ควนโดน","รวมทั้งอำเภอ","739","0","0","0","18","0","0","0","1","0","0","0","178","16","742","0","0","0","758"
"created","54","2025-12-11","ควนโดน","รวมทั้งอำเภอ","739","0","0","0","18","0","0","0","1","0","0","0","178","16","742","0","0","0","758"
"created","54","2025-12-12","ควนโดน","รวมทั้งอำเภอ","739","0","0","0","18","0","0","0","1","0","0","0","178","16","742","0","0","0","758"
"created","54","2025-12-13","ควนโดน","รวมทั้งอำเภอ","739","0","0","0","18","0","0","0","0","0","0","0","177","16","742","0","0","0","757"
"created","54","2025-12-14","ควนโดน","รวมทั้งอำเภอ","739","0","0","0","18","0","0","0","0","0","0","0","177","16","742","0","0","0","757"
"created","54","2025-12-15","ควนโดน","รวมทั้งอำเภอ","739","0","0","0","18","0","0","0","0","0","0","0","177","16","741","0","0","0","757"
"created","54","2025-11-30","เมืองสตูล","รวมทั้งอำเภอ","3544","1","0","0","26","0","0","0","1","0","0","0","1157","10","3560","0","0","1","3571"
"created","54","2025-12-01","เมืองสตูล","รวมทั้งอำเภอ","3544","1","0","0","26","0","0","0","1","0","0","0","1157","10","3560","0","0","1","3571"
"created","54","2025-12-02","เมืองสตูล","รวมทั้งอำเภอ","3544","1","0","0","25","0","0","0","1","0","0","0","1157","10","3560","0","0","1","3570"
"created","54","2025-12-03","เมืองสตูล","รวมทั้งอำเภอ","3544","1","0","0","25","0","0","0","1","0","0","0","1157","10","3560","0","0","1","3570"
"created","54","2025-12-04","เมืองสตูล","รวมทั้งอำเภอ","3544","1","0","0","25","0","0","0","1","0","0","0","1156","10","3560","0","0","1","3570"
"created","54","2025-12-05","เมืองสตูล","รวมทั้งอำเภอ","3544","1","0","0","25","0","0","0","1","0","0","0","1156","10","3560","0","0","1","3570"
"created","54","2025-12-06","เมืองสตูล","รวมทั้งอำเภอ","3544","1","0","0","25","0","0","0","1","0","0","0","1156","10","3560","0","0","1","3570"
"created","54","2025-12-07","เมืองสตูล","รวมทั้งอำเภอ","3544","0","0","0","25","0","0","0","1","0","0","0","1156","10","3560","0","0","0","3570"
"created","54","2025-12-08","เมืองสตูล","รวมทั้งอำเภอ","3544","0","0","0","25","0","0","0","0","0","0","0","1156","10","3560","0","0","0","3569"
"created","54","2025-12-09","เมืองสตูล","รวมทั้งอำเภอ","3543","0","0","0","25","0","0","0","0","0","0","0","1156","10","3559","0","0","0","3568"
"created","54","2025-12-10","เมืองสตูล","รวมทั้งอำเภอ","3543","0","0","0","25","0","0","0","0","0","0","0","1156","9","3559","0","0","0","3568"
"created","54","2025-12-11","เมืองสตูล","รวมทั้งอำเภอ","3543","0","0","0","25","0","0","0","0","0","0","0","1156","9","3559","0","0","0","3568"
"created","54","2025-12-12","เมืองสตูล","รวมทั้งอำเภอ","3543","0","0","0","25","0","0","0","0","0","0","0","1156","9","3559","0","0","0","3568"
"created","54","2025-12-13","เมืองสตูล","รวมทั้งอำเภอ","3543","0","0","0","25","0","0","0","0","0","0","0","1156","9","3559","0","0","0","3568"
"created","54","2025-12-14","เมืองสตูล","รวมทั้งอำเภอ","3543","0","0","0","25","0","0","0","0","0","0","0","1156","9","3559","0","0","0","3568"
"created","54","2025-12-15","เมืองสตูล","รวมทั้งอำเภอ","3543","0","0","0","25","0","0","0","0","0","0","0","1156","9","3559","0","0","0","3568"
"created","54","2025-11-30","ท่าแพ","รวมทั้งอำเภอ","101","1","0","0","2","0","0","0","1","0","0","0","16","1","102","0","0","1","104"
"created","54","2025-12-01","ท่าแพ","รวมทั้งอำเภอ","101","0","0","0","2","0","0","0","1","0","0","0","16","1","102","0","0","0","104"
"created","54","2025-12-02","ท่าแพ","รวมทั้งอำเภอ","101","0","0","0","2","0","0","0","1","0","0","0","16","1","102","0","0","0","104"
"created","54","2025-12-03","ท่าแพ","รวมทั้งอำเภอ","101","0","0","0","2","0","0","0","1","0","0","0","16","1","102","0","0","0","104"
"created","54","2025-12-04","ท่าแพ","รวมทั้งอำเภอ","101","0","0","0","2","0","0","0","1","0","0","0","16","1","102","0","0","0","104"
"created","54","2025-12-05","ท่าแพ","รวมทั้งอำเภอ","100","0","0","0","2","0","0","0","1","0","0","0","16","1","102","0","0","0","103"
"created","54","2025-12-06","ท่าแพ","รวมทั้งอำเภอ","100","0","0","0","2","0","0","0","1","0","0","0","16","1","102","0","0","0","103"
"created","54","2025-12-07","ท่าแพ","รวมทั้งอำเภอ","100","0","0","0","2","0","0","0","1","0","0","0","16","1","102","0","0","0","103"
"created","54","2025-12-08","ท่าแพ","รวมทั้งอำเภอ","100","0","0","0","2","0","0","0","1","0","0","0","16","1","102","0","0","0","103"
"created","54","2025-12-09","ท่าแพ","รวมทั้งอำเภอ","100","0","0","0","2","0","0","0","1","0","0","0","16","1","101","0","0","0","103"
"created","54","2025-12-10","ท่าแพ","รวมทั้งอำเภอ","100","0","0","0","1","0","0","0","0","0","0","0","15","1","101","0","0","0","101"
"created","54","2025-12-11","ท่าแพ","รวมทั้งอำเภอ","100","0","0","0","1","0","0","0","0","0","0","0","15","1","101","0","0","0","101"
"created","54","2025-12-12","ท่าแพ","รวมทั้งอำเภอ","100","0","0","0","1","0","0","0","0","0","0","0","15","1","101","0","0","0","101"
"created","54","2025-12-13","ท่าแพ","รวมทั้งอำเภอ","100","0","0","0","1","0","0","0","0","0","0","0","15","1","101","0","0","0","101"
"created","54","2025-12-14","ท่าแพ","รวมทั้งอำเภอ","100","0","0","0","1","0","0","0","0","0","0","0","15","1","101","0","0","0","101"
"created","54","2025-12-15","ท่าแพ","รวมทั้งอำเภอ","100","0","0","0","1","0","0","0","0","0","0","0","15","1","101","0","0","0","101"
"created","54","2025-11-30","มะนัง","รวมทั้งอำเภอ","251","1","0","0","3","0","0","0","3","0","0","0","54","22","234","0","0","1","257"
"created","54","2025-12-01","มะนัง","รวมทั้งอำเภอ","251","0","0","0","3","0","0","0","3","0","0","0","54","22","234","0","0","0","257"
"created","54","2025-12-02","มะนัง","รวมทั้งอำเภอ","251","0","0","0","3","0","0","0","3","0","0","0","53","22","234","0","0","0","257"
"created","54","2025-12-03","มะนัง","รวมทั้งอำเภอ","251","0","0","0","3","0","0","0","2","0","0","0","53","22","234","0","0","0","256"
"created","54","2025-12-04","มะนัง","รวมทั้งอำเภอ","251","0","0","0","3","0","0","0","2","0","0","0","53","22","234","0","0","0","256"
"created","54","2025-12-05","มะนัง","รวมทั้งอำเภอ","251","0","0","0","3","0","0","0","2","0","0","0","53","22","234","0","0","0","256"
"created","54","2025-12-06","มะนัง","รวมทั้งอำเภอ","251","0","0","0","3","0","0","0","2","0","0","0","53","22","234","0","0","0","256"
"created","54","2025-12-07","มะนัง","รวมทั้งอำเภอ","251","0","0","0","3","0","0","0","2","0","0","0","53","22","234","0","0","0","256"
"created","54","2025-12-08","มะนัง","รวมทั้งอำเภอ","250","0","0","0","3","0","0","0","2","0","0","0","53","22","234","0","0","0","255"
"created","54","2025-12-09","มะนัง","รวมทั้งอำเภอ","250","0","0","0","3","0","0","0","2","0","0","0","53","21","234","0","0","0","255"
"created","54","2025-12-10","มะนัง","รวมทั้งอำเภอ","250","0","0","0","3","0","0","0","2","0","0","0","53","21","234","0","0","0","255"
"created","54","2025-12-11","มะนัง","รวมทั้งอำเภอ","250","0","0","0","3","0","0","0","2","0","0","0","53","21","234","0","0","0","255"
"created","54","2025-12-12","มะนัง","รวมทั้งอำเภอ","250","0","0","0","2","0","0","0","2","0","0","0","53","21","234","0","0","0","254"
"created","54","2025-12-13","มะนัง","รวมทั้งอำเภอ","250","0","0","0","2","0","0","0","2","0","0","0","53","21","234","0","0","0","254"
"created","54","2025-12-14","มะนัง","รวมทั้งอำเภอ","250","0","0","0","2","0","0","0","2","0","0","0","53","21","233","0","0","0","254"
"created","54","2025-12-15","มะนัง","รวมทั้งอำเภอ","250","0","0","0","2","0","0","0","2","0","0","0","53","21","233","0","0","0","254"
"created","54","2025-11-30","ควนกาหลง","รวมทั้งอำเภอ","271","1","1","0","3","0","0","0","3","0","0","0","75","16","261","1","0","1","277"
"created","54","2025-12-01","ควนกาหลง","รวมทั้งอำเภอ","271","0","0","0","3","0","0","0","3","0","0","0","75","16","261","0","0","0","277"
"created","54","2025-12-02","ควนกาหลง","รวมทั้งอำเภอ","271","0","0","0","3","0","0","0","3","0","0","0","75","16","261","0","0","0","277"
"created","54","2025-12-03","ควนกาหลง","รวมทั้งอำเภอ","271","0","0","0","3","0","0","0","3","0","0","0","75","16","261","0","0","0","277"
"created","54","2025-12-04","ควนกาหลง","รวมทั้งอำเภอ","271","0","0","0","3","0","0","0","3","0","0","0","75","16","261","0","0","0","277"
"created","54","2025-12-05","ควนกาหลง","รวมทั้งอำเภอ","271","0","0","0","3","0","0","0","3","0","0","0","75","15","261","0","0","0","277"
"created","54","2025-12-06","ควนกาหลง","รวมทั้งอำเภอ","271","0","0","0","3","0","0","0","3","0","0","0","75","15","260","0","0","0","277"
"created","54","2025-12-07","ควนกาหลง","รวมทั้งอำเภอ","271","0","0","0","3","0","0","0","3","0","0","0","75","15","260","0","0","0","277"
"created","54","2025-12-08","ควนกาหลง","รวมทั้งอำเภอ","271","0","0","0","2","0","0","0","3","0","0","0","75","15","260","0","0","0","276"
"created","54","2025-12-09","ควนกาหลง","รวมทั้งอำเภอ","270","0","0","0","2","0","0","0","3","0","0","0","75","15","260","0","0","0","275"
"created","54","2025-12-10","ควนกาหลง","รวมทั้งอำเภอ","270","0","0","0","2","0","0","0","2","0","0","0","75","15","260","0","0","0","274"
"created","54","2025-12-11","ควนกาหลง","รวมทั้งอำเภอ","270","0","0","0","2","0","0","0","2","0","0","0","75","15","260","0","0","0","274"
"created","54","2025-12-12","ควนกาหลง","รวมทั้งอำเภอ","270","0","0","0","2","0","0","0","2","0","0","0","75","15","260","0","0","0","274"
"created","54","2025-12-13","ควนกาหลง","รวมทั้งอำเภอ","270","0","0","0","2","0","0","0","2","0","0","0","75","15","260","0","0","0","274"
"created","54","2025-12-14","ควนกาหลง","รวมทั้งอำเภอ","270","0","0","0","2","0","0","0","2","0","0","0","75","15","260","0","0","0","274"
"created","54","2025-12-15","ควนกาหลง","รวมทั้งอำเภอ","270","0","0","0","2","0","0","0","2","0","0","0","75","15","260","0","0","0","274"
"created","54","2025-11-30","ละงู","รวมทั้งอำเภอ","445","1","1","0","25","0","0","0","7","0","0","0","157","42","434","1","0","1","477"
"created","54","2025-12-01","ละงู","รวมทั้งอำเภอ","445","1","1","0","25","0","0","0","7","0","0","0","157","42","434","1","0","1","477"
"created","54","2025-12-02","ละงู","รวมทั้งอำเภอ","445","1","0","0","24","0","0","0","7","0","0","0","157","42","434","0","0","1","476"
"created","54","2025-12-03","ละงู","รวมทั้งอำเภอ","444","1","0","0","24","0","0","0","7","0","0","0","157","42","434","0","0","1","475"
"created","54","2025-12-04","ละงู","รวมทั้งอำเภอ","444","1","0","0","24","0","0","0","7","0","0","0","156","41","434","0","0","1","475"
"created","54","2025-12-05","ละงู","รวมทั้งอำเภอ","444","1","0","0","24","0","0","0","7","0","0","0","156","41","434","0","0","1","475"
"created","54","2025-12-06","ละงู","รวมทั้งอำเภอ","444","1","0","0","24","0","0","0","6","0","0","0","156","41","434","0","0","1","474"
"created","54","2025-12-07","ละงู","รวมทั้งอำเภอ","444","1","0","0","24","0","0","0","6","0","0","0","156","41","433","0","0","1","474"
"created","54","2025-12-08","ละงู","รวมทั้งอำเภอ","444","1","0","0","24","0","0","0","6","0","0","0","156","41","433","0","0","1","474"
