username,title,given_name,family_name,role,team_code,committee_role,position,action
"eoc2569_001","นายแพทย์","","","","","","นายแพทย์สาธารณสุขจังหวัดสตูล","created"
"eoc2569_002","นายแพทย์","","","","","","ผู้อำนวยการโรงพยาบาลสตูล","created"
"eoc2569_003","แพทย์หญิง","","","","","","รองนายแพทย์สาธารณสุขจังหวัดสตูล","created"
"eoc2569_004","นาย","","","","","","รองนายแพทย์สาธารณสุขจังหวัดสตูล","created"
"eoc2569_005","นาย","","","","","","นักวิชาการสาธารณสุขชำนาญการพิเศษ","created"
"eoc2569_006","นาง","","","","","","เภสัชกรชำนาญการ","created"
"thaiid_19098007","นางสาว","","","","","","นักวิชาการคอมพิวเตอร์ชำนาญการ","updated"
"eoc2569_007","นาย","","","","","","นักวิชาการสาธารณสุขปฏิบัติการ","created"
"eoc2569_008","นางสาว","","","","","","นักวิชาการสาธารณสุขชำนาญการ","created"
"eoc2569_009","นาย","","","","","","นักวิชาการสาธารณสุขชำนาญการ","created"
"eoc2569_010","นาง","","","","","","นักวิชาการสาธารณสุขเชี่ยวชาญ","created"
"eoc2569_011","นางสาว","","","","","","นักวิเคราะห์นโยบายและแผนชำนาญการ","created"
"eoc2569_012","นาย","","","","","","นักวิชาการสาธารณสุขชำนาญการ","created"
"eoc2569_013","นางสาว","","","","","","นักสาธารณสุขปฏิบัติการ","created"
"eoc2569_014","นาย","","","","","","นักสาธารณสุขชำนาญการ","created"
"eoc2569_015","นางสาว","","","","","","นักสาธารณสุขชำนาญการ","created"
"eoc2569_016","นางสาว","","","","","","นักวิชาการสาธารณสุขชำนาญการ","created"
"eoc2569_017","นาย","","","","","","นักสาธารณสุขชำนาญการ","created"
"eoc2569_018","นายแพทย์","","","","","","นายแพทย์ชำนาญการพิเศษ","created"
"eoc2569_019","แพทย์หญิง","","","","","","นายแพทย์ชำนาญการพิเศษ","created"
"eoc2569_020","แพทย์หญิง","","","","","","นายแพทย์ชำนาญการพิเศษ","created"
"eoc2569_021","แพทย์หญิง","","","","","","นายแพทย์ชำนาญการ","created"
"eoc2569_022","นางสาว","","","","","","นักวิชาการสาธารณสุขชำนาญการ","created"
"eoc2569_023","นาง","","","","","","นักสาธารณสุขชำนาญการ","created"
"eoc2569_024","นาง","","","","","","พยาบาลวิชาชีพชำนาญการ","created"
