action,bucket,session_id,report_date,facility_name,district_name,disease_name,patient_count
"created","average_range","54","2025-11-20","รพ.สตูล","เมืองสตูล","ไข้หวัดใหญ่","3"
"created","average_range","54","2025-11-21","รพ.สตูล","เมืองสตูล","ไข้หวัดใหญ่","3"
"created","average_range","54","2025-11-22","รพ.สตูล","เมืองสตูล","ไข้หวัดใหญ่","3"
"created","average_range","54","2025-11-23","รพ.สตูล","เมืองสตูล","ไข้หวัดใหญ่","3"
"created","average_range","54","2025-11-24","รพ.สตูล","เมืองสตูล","ไข้หวัดใหญ่","3"
"created","average_range","54","2025-11-25","รพ.สตูล","เมืองสตูล","ไข้หวัดใหญ่","2"
"created","average_range","54","2025-11-26","รพ.สตูล","เมืองสตูล","ไข้หวัดใหญ่","2"
"created","average_range","54","2025-11-27","รพ.สตูล","เมืองสตูล","ไข้หวัดใหญ่","2"
"created","average_range","54","2025-11-28","รพ.สตูล","เมืองสตูล","ไข้หวัดใหญ่","2"
"created","average_range","54","2025-11-29","รพ.สตูล","เมืองสตูล","ไข้หวัดใหญ่","2"
"created","average_range","54","2025-11-30","รพ.สตูล","เมืองสตูล","ไข้หวัดใหญ่","2"
"created","average_range","54","2025-11-20","รพ.ควนโดน","ควนโดน","ไข้หวัดใหญ่","2"
"created","average_range","54","2025-11-21","รพ.ควนโดน","ควนโดน","ไข้หวัดใหญ่","2"
"created","average_range","54","2025-11-22","รพ.ควนโดน","ควนโดน","ไข้หวัดใหญ่","2"
"created","average_range","54","2025-11-23","รพ.ควนโดน","ควนโดน","ไข้หวัดใหญ่","2"
"created","average_range","54","2025-11-24","รพ.ควนโดน","ควนโดน","ไข้หวัดใหญ่","2"
"created","average_range","54","2025-11-25","รพ.ควนโดน","ควนโดน","ไข้หวัดใหญ่","1"
"created","average_range","54","2025-11-26","รพ.ควนโดน","ควนโดน","ไข้หวัดใหญ่","1"
"created","average_range","54","2025-11-27","รพ.ควนโดน","ควนโดน","ไข้หวัดใหญ่","1"
"created","average_range","54","2025-11-28","รพ.ควนโดน","ควนโดน","ไข้หวัดใหญ่","1"
"created","average_range","54","2025-11-29","รพ.ควนโดน","ควนโดน","ไข้หวัดใหญ่","1"
"created","average_range","54","2025-11-30","รพ.ควนโดน","ควนโดน","ไข้หวัดใหญ่","1"
"created","average_range","54","2025-11-20","รพ.ควนกาหลง","ควนกาหลง","ไข้หวัดใหญ่","1"
"created","average_range","54","2025-11-20","รพ.ละงู","ละงู","ไข้หวัดใหญ่","1"
"created","average_range","54","2025-11-21","รพ.ละงู","ละงู","ไข้หวัดใหญ่","1"
"created","average_range","54","2025-11-22","รพ.ละงู","ละงู","ไข้หวัดใหญ่","1"
"created","average_range","54","2025-11-23","รพ.ละงู","ละงู","ไข้หวัดใหญ่","1"
"created","average_range","54","2025-11-24","รพ.ละงู","ละงู","ไข้หวัดใหญ่","1"
"created","average_range","54","2025-11-25","รพ.ละงู","ละงู","ไข้หวัดใหญ่","1"
"created","average_range","54","2025-11-26","รพ.ละงู","ละงู","ไข้หวัดใหญ่","1"
"created","average_range","54","2025-11-27","รพ.ละงู","ละงู","ไข้หวัดใหญ่","1"
"created","average_range","54","2025-11-20","รพ.มะนัง","มะนัง","ไข้หวัดใหญ่","1"
"created","average_range","54","2025-11-21","รพ.มะนัง","มะนัง","ไข้หวัดใหญ่","1"
"created","average_range","54","2025-11-22","รพ.มะนัง","มะนัง","ไข้หวัดใหญ่","1"
"created","average_range","54","2025-11-20","รพ.ทุ่งหว้า","ทุ่งหว้า","ไข้หวัดใหญ่","1"
"created","average_range","54","2025-11-20","รพ.สตูล","เมืองสตูล","ทางเดินอาหาร","1"
"created","average_range","54","2025-11-21","รพ.สตูล","เมืองสตูล","ทางเดินอาหาร","1"
"created","average_range","54","2025-11-20","รพ.ควนโดน","ควนโดน","ทางเดินอาหาร","1"
"created","average_range","54","2025-11-21","รพ.ควนโดน","ควนโดน","ทางเดินอาหาร","1"
"created","average_range","54","2025-11-22","รพ.ควนโดน","ควนโดน","ทางเดินอาหาร","1"
"created","average_range","54","2025-11-23","รพ.ควนโดน","ควนโดน","ทางเดินอาหาร","1"
"created","average_range","54","2025-11-20","รพ.มะนัง","มะนัง","ทางเดินอาหาร","1"
"created","average_range","54","2025-11-20","รพ.สตูล","เมืองสตูล","เวียนศีรษะ","1"
"created","average_range","54","2025-11-21","รพ.สตูล","เมืองสตูล","เวียนศีรษะ","1"
"created","average_range","54","2025-11-20","รพ.มะนัง","มะนัง","เวียนศีรษะ","1"
"created","average_range","54","2025-11-21","รพ.มะนัง","มะนัง","เวียนศีรษะ","1"
"created","average_range","54","2025-11-20","รพ.สตูล","เมืองสตูล","ปวดเมื่อย","1"
"created","average_range","54","2025-11-21","รพ.สตูล","เมืองสตูล","ปวดเมื่อย","1"
"created","average_range","54","2025-11-22","รพ.สตูล","เมืองสตูล","ปวดเมื่อย","1"
"created","average_range","54","2025-11-23","รพ.สตูล","เมืองสตูล","ปวดเมื่อย","1"
"created","average_range","54","2025-11-24","รพ.สตูล","เมืองสตูล","ปวดเมื่อย","1"
"created","average_range","54","2025-11-25","รพ.สตูล","เมืองสตูล","ปวดเมื่อย","1"
"created","average_range","54","2025-11-26","รพ.สตูล","เมืองสตูล","ปวดเมื่อย","1"
"created","average_range","54","2025-11-27","รพ.สตูล","เมืองสตูล","ปวดเมื่อย","1"
"created","average_range","54","2025-11-28","รพ.สตูล","เมืองสตูล","ปวดเมื่อย","1"
"created","average_range","54","2025-11-29","รพ.สตูล","เมืองสตูล","ปวดเมื่อย","1"
"created","average_range","54","2025-11-20","รพ.ควนโดน","ควนโดน","ปวดเมื่อย","1"
"created","average_range","54","2025-11-21","รพ.ควนโดน","ควนโดน","ปวดเมื่อย","1"
"created","average_range","54","2025-11-22","รพ.ควนโดน","ควนโดน","ปวดเมื่อย","1"
"created","average_range","54","2025-11-23","รพ.ควนโดน","ควนโดน","ปวดเมื่อย","1"
"created","average_range","54","2025-11-24","รพ.ควนโดน","ควนโดน","ปวดเมื่อย","1"
"created","average_range","54","2025-11-25","รพ.ควนโดน","ควนโดน","ปวดเมื่อย","1"
"created","average_range","54","2025-11-20","รพ.ละงู","ละงู","ปวดเมื่อย","2"
"created","average_range","54","2025-11-21","รพ.ละงู","ละงู","ปวดเมื่อย","1"
"created","average_range","54","2025-11-22","รพ.ละงู","ละงู","ปวดเมื่อย","1"
"created","average_range","54","2025-11-23","รพ.ละงู","ละงู","ปวดเมื่อย","1"
"created","average_range","54","2025-11-24","รพ.ละงู","ละงู","ปวดเมื่อย","1"
"created","average_range","54","2025-11-25","รพ.ละงู","ละงู","ปวดเมื่อย","1"
"created","average_range","54","2025-11-26","รพ.ละงู","ละงู","ปวดเมื่อย","1"
"created","average_range","54","2025-11-27","รพ.ละงู","ละงู","ปวดเมื่อย","1"
"created","average_range","54","2025-11-28","รพ.ละงู","ละงู","ปวดเมื่อย","1"
"created","average_range","54","2025-11-29","รพ.ละงู","ละงู","ปวดเมื่อย","1"
"created","average_range","54","2025-11-30","รพ.ละงู","ละงู","ปวดเมื่อย","1"
"created","average_range","54","2025-11-20","รพ.มะนัง","มะนัง","ปวดเมื่อย","1"
"created","average_range","54","2025-11-21","รพ.มะนัง","มะนัง","ปวดเมื่อย","1"
"created","average_range","54","2025-11-22","รพ.มะนัง","มะนัง","ปวดเมื่อย","1"
"created","average_range","54","2025-11-23","รพ.มะนัง","มะนัง","ปวดเมื่อย","1"
"created","average_range","54","2025-11-24","รพ.มะนัง","มะนัง","ปวดเมื่อย","1"
"created","average_range","54","2025-11-25","รพ.มะนัง","มะนัง","ปวดเมื่อย","1"
"created","average_range","54","2025-11-26","รพ.มะนัง","มะนัง","ปวดเมื่อย","1"
"created","average_range","54","2025-11-20","รพ.สตูล","เมืองสตูล","น้ำกัดเท้า","3"
"created","average_range","54","2025-11-21","รพ.สตูล","เมืองสตูล","น้ำกัดเท้า","3"
"created","average_range","54","2025-11-22","รพ.สตูล","เมืองสตูล","น้ำกัดเท้า","3"
